latitude,longitude,acq_date,intensity
58,-118,2023-09-23,1351
58,-120,2023-09-23,1244
-37,149,2020-01-04,1120
-15,-62,2024-09-06,818
-37,-72,2023-02-04,737
-15,-62,2024-09-05,653
58,-119,2023-09-23,645
44,-122,2020-09-08,606
58,-121,2023-09-23,563
-36,147,2003-01-26,516
64,-120,2024-08-10,506
39,-121,2020-09-09,497
-17,-59,2024-09-08,478
37,-119,2020-09-07,456
58,-118,2023-09-16,454
59,-114,2023-09-23,451
44,-122,2020-09-09,450
66,157,2023-07-16,426
-16,-59,2024-08-02,422
-15,-62,2024-09-23,402
-21,140,2024-10-24,399
-36,147,2003-01-25,398
58,-120,2023-09-16,398
-35,148,2003-01-18,378
-17,-58,2024-09-10,377
-36,147,2003-01-21,374
55,-116,2023-05-06,371
-15,-62,2024-09-22,369
44,-122,2020-09-10,365
59,135,2023-08-13,365
-36,147,2020-01-04,363
58,-114,2024-07-19,355
60,-117,2024-08-12,353
66,152,2020-07-26,349
-36,147,2003-01-17,345
53,107,2015-08-08,328
60,-116,2023-08-25,326
59,-121,2023-09-23,326
57,-122,2023-06-09,324
48,-119,2015-08-20,317
-35,148,2020-01-04,316
60,-118,2024-08-10,315
-14,-62,2024-10-02,313
-17,-58,2024-09-08,312
58,-118,2023-09-22,311
60,-117,2024-08-10,304
-36,-72,2023-02-03,301
59,-112,2023-08-14,300
-2,105,2015-10-21,299
-37,-72,2023-02-03,286
58,-114,2024-07-10,286
53,107,2015-08-22,281
62,-123,2024-08-12,281
-14,-62,2024-10-04,280
-14,-62,2024-10-05,277
-2,105,2015-10-19,276
40,-105,2020-10-22,276
-35,136,2020-01-03,275
-18,138,2024-10-09,275
-24,-59,2020-10-01,274
58,-113,2023-09-23,272
-18,136,2023-09-29,271
64,-120,2024-08-08,271
-2,105,2015-10-03,267
59,-120,2023-09-02,265
45,-122,2020-09-09,263
58,-120,2023-08-26,263
61,-112,2023-09-23,263
-33,123,2015-11-17,262
66,157,2023-07-15,261
-16,-60,2024-09-08,260
-38,-72,2023-02-04,259
60,-117,2024-08-13,259
59,-112,2023-06-11,256
59,-121,2024-07-10,256
61,136,2023-08-13,255
37,-119,2020-09-14,254
-15,-63,2024-09-06,253
37,-121,2020-08-20,251
-30,149,2023-12-17,251
64,170,2003-07-26,250
41,-123,2020-09-08,250
-15,-62,2024-09-11,250
48,-118,2015-08-20,249
-36,-65,2003-02-15,248
-36,149,2020-02-01,248
61,120,2024-07-08,247
-15,-62,2024-09-03,247
-37,149,2020-01-13,246
39,-121,2024-07-25,245
-2,105,2015-10-24,244
41,-123,2020-09-09,244
-2,105,2015-10-10,243
53,-115,2023-05-05,243
64,-120,2024-08-09,243
40,-123,2020-09-28,242
53,107,2015-08-09,241
39,-122,2020-09-08,240
-24,-58,2020-10-02,240
53,-116,2023-06-10,240
40,-106,2020-10-22,239
56,-106,2023-05-16,239
57,-121,2023-05-18,239
-17,-58,2024-08-22,238
40,-123,2020-09-09,236
-19,129,2023-10-24,235
-2,114,2015-09-23,234
52,126,2003-05-22,231
-37,149,2020-01-31,231
-22,24,2023-08-25,231
52,125,2003-05-20,229
-19,124,2023-10-03,229
64,-122,2024-08-10,228
-36,147,2003-01-19,227
63,169,2003-07-25,227
-32,123,2020-01-02,227
-17,-58,2024-08-21,227
53,109,2015-08-23,226
-37,147,2020-01-04,225
-20,132,2023-10-24,225
-23,23,2023-09-02,224
-34,150,2020-01-04,221
-24,-58,2020-10-01,220
37,-119,2020-09-06,219
39,-122,2020-09-05,218
38,-122,2020-09-28,218
55,129,2023-07-09,218
-36,149,2020-01-04,217
64,110,2020-08-28,217
60,-118,2023-05-27,216
40,-121,2024-07-26,216
48,-119,2020-09-07,214
58,-121,2024-05-10,214
52,107,2015-08-08,213
48,-119,2015-08-21,213
-2,114,2015-10-14,213
39,-122,2020-08-20,213
60,-121,2023-06-03,212
53,109,2015-08-24,209
60,-119,2023-07-14,209
58,-114,2024-07-20,208
60,-118,2024-08-11,206
52,107,2015-08-22,204
-37,148,2020-01-04,203
59,-121,2024-05-13,203
50,-123,2015-07-05,202
-2,105,2015-10-26,202
-20,129,2023-10-04,202
-17,131,2023-10-31,202
-15,-61,2024-09-06,201
-15,-61,2024-09-08,201
40,-121,2024-07-27,200
64,-123,2024-08-10,200
61,120,2024-07-01,199
32,-116,2003-10-27,198
-16,-59,2024-09-08,198
-16,-61,2020-11-04,196
-14,-63,2024-10-02,196
60,-117,2023-08-25,195
-16,142,2024-11-04,195
-17,-56,2023-11-12,194
-17,-59,2024-09-07,194
-35,149,2020-02-01,193
58,-120,2024-07-18,192
34,-117,2003-10-26,191
-17,132,2023-11-04,191
36,-121,2020-09-08,190
59,-120,2023-08-28,190
44,-119,2024-07-21,190
-20,130,2023-10-16,189
-36,148,2003-01-26,188
59,-112,2003-08-17,188
52,-115,2023-05-05,188
46,119,2003-05-21,187
39,-7,2003-08-03,187
59,-111,2023-08-14,187
-36,149,2020-01-31,185
-16,-55,2020-09-12,185
-26,150,2023-02-13,185
60,-117,2024-08-09,185
44,-115,2024-08-23,185
-36,148,2003-01-17,184
33,-116,2003-10-27,183
58,-120,2023-09-22,183
60,-116,2023-08-14,182
59,-123,2023-09-02,181
-19,122,2023-10-15,181
-14,-60,2024-08-26,180
59,-112,2023-08-13,179
62,-122,2024-08-12,179
-16,-61,2024-09-08,179
60,-127,2015-07-08,177
57,-120,2023-09-23,177
2,-61,2003-03-15,176
38,-122,2020-08-20,176
-17,142,2024-11-04,176
-35,148,2003-01-17,175
45,-122,2020-09-10,175
60,-116,2023-08-13,174
-25,132,2023-11-02,174
-17,-59,2024-08-22,174
-34,116,2015-02-04,173
-36,147,2003-01-18,172
37,-121,2020-08-19,172
43,-122,2020-09-09,172
46,117,2023-04-08,172
58,-119,2023-09-12,172
60,-117,2024-08-11,172
-17,-58,2024-09-09,172
44,-121,2020-09-08,171
54,-116,2023-05-06,171
55,-106,2023-05-16,171
37,-119,2020-09-08,170
59,-112,2023-08-22,170
-15,-62,2024-09-02,170
58,-119,2023-09-22,169
64,109,2020-08-28,168
59,-122,2024-07-18,168
-16,-59,2024-08-03,168
-15,-63,2024-09-23,168
59,-115,2023-09-23,167
59,-119,2024-07-18,166
62,-121,2024-08-12,166
64,-122,2024-08-17,166
-15,-63,2024-09-05,166
20,101,2003-04-05,165
52,107,2015-08-09,165
54,-106,2015-06-28,164
36,-118,2020-09-14,164
59,-110,2023-07-30,164
-16,-57,2024-09-12,164
-15,-62,2024-09-18,164
-2,105,2015-10-23,163
-32,122,2015-11-17,163
62,-123,2024-08-10,163
-36,-72,2023-02-04,162
58,-120,2023-07-09,162
40,25,2023-08-22,162
-35,149,2020-01-04,161
-16,-55,2020-09-11,161
54,130,2024-07-02,161
52,125,2003-05-19,160
40,-123,2020-09-08,160
58,-121,2024-07-18,160
-36,146,2003-01-21,159
52,125,2003-05-17,159
40,-105,2020-09-06,159
-3,105,2015-09-24,158
53,-115,2023-06-10,158
-17,136,2023-10-07,158
54,109,2015-08-24,157
-37,-72,2023-02-07,157
-15,-62,2024-09-08,157
-15,-62,2024-09-21,157
-33,116,2015-02-04,156
-35,148,2020-01-31,156
59,-120,2023-09-23,156
-19,-56,2023-11-14,156
-14,-62,2024-09-23,156
53,113,2003-05-19,155
49,115,2015-04-19,155
67,150,2020-07-26,155
60,-115,2023-08-26,155
37,-119,2020-09-16,154
60,-118,2023-08-14,154
-20,133,2023-10-24,154
64,170,2003-07-28,153
63,168,2003-08-07,153
39,-122,2020-09-09,153
-38,-73,2023-02-04,153
39,-121,2024-07-26,153
8,-11,2003-04-09,152
51,-78,2023-07-13,152
-21,23,2023-09-07,152
64,-124,2024-08-10,152
60,-118,2024-08-12,152
62,134,2020-06-30,151
68,162,2020-07-26,151
41,-123,2020-09-10,151
41,-106,2020-09-26,151
-16,-59,2024-08-21,151
-15,-61,2024-09-03,151
64,170,2003-07-25,150
59,-121,2024-07-09,150
-14,-62,2024-10-09,150
32,-116,2003-10-26,149
-3,105,2015-09-26,149
-18,137,2023-09-28,149
-20,136,2023-10-03,149
62,-123,2024-08-09,149
-18,144,2003-11-25,148
54,-106,2015-06-27,148
-19,122,2023-10-27,148
44,-117,2024-07-20,148
-36,147,2003-01-29,147
52,108,2015-08-09,147
40,-122,2020-09-08,147
37,-119,2020-09-09,147
59,-129,2023-07-09,147
62,-122,2024-08-10,147
-37,148,2020-01-31,146
-17,-56,2020-09-05,146
64,-122,2024-08-20,146
47,118,2015-04-13,145
49,-119,2023-08-18,145
64,156,2003-07-25,144
8,-12,2015-03-25,144
56,-107,2015-07-03,144
64,-146,2023-08-07,144
57,-110,2024-07-12,144
-19,-56,2024-08-02,144
37,-8,2003-09-12,143
-15,-62,2024-09-01,143
-18,143,2024-11-09,143
55,-109,2015-07-04,142
48,-118,2015-08-21,142
52,108,2015-08-24,141
-37,147,2020-01-03,141
-17,-58,2024-08-31,141
-17,-58,2024-09-07,141
58,-119,2023-08-26,140
64,-122,2024-08-19,140
66,150,2020-07-21,139
49,-76,2023-06-22,139
61,135,2023-08-13,139
-19,129,2023-10-31,139
-35,148,2003-01-26,138
44,-117,2015-08-14,138
-18,123,2023-10-20,138
66,153,2003-09-15,137
52,112,2015-04-13,137
55,-106,2015-06-29,137
-24,-58,2020-09-26,137
-13,-63,2023-11-03,137
40,-122,2020-09-28,136
-18,133,2023-11-07,136
-35,148,2003-01-21,135
-36,148,2003-02-04,135
51,111,2003-06-11,135
-2,105,2015-10-01,135
66,134,2020-07-23,135
37,-121,2020-08-18,135
53,-116,2023-05-06,135
50,-89,2023-06-22,135
-19,139,2023-12-27,135
62,119,2024-07-25,135
-15,-61,2024-08-26,135
44,-119,2024-09-05,135
-20,140,2024-10-24,135
33,-116,2003-10-29,134
-32,-64,2020-09-29,134
50,130,2023-05-03,134
59,-112,2023-08-23,134
-37,142,2024-12-25,134
54,125,2015-07-10,133
-2,105,2015-10-17,133
-16,-56,2020-09-14,133
61,132,2020-09-25,133
60,-119,2023-07-13,133
-19,126,2023-09-08,133
-21,133,2023-10-24,133
64,-120,2024-08-19,133
-15,-61,2024-09-05,133
-16,-59,2024-09-07,133
63,169,2003-07-20,132
34,-118,2003-10-27,132
-32,150,2020-01-04,132
38,-122,2020-08-19,132
59,-113,2023-06-11,132
-20,132,2023-10-14,132
60,-118,2024-08-09,132
59,-113,2015-06-07,131
63,130,2020-07-14,131
-17,-56,2020-09-03,131
-37,-73,2023-02-04,131
53,-116,2023-06-09,131
-19,135,2023-09-03,131
53,107,2015-08-24,130
64,123,2020-07-01,130
55,-116,2023-05-16,130
59,135,2023-08-12,130
61,134,2023-08-13,130
-15,-65,2023-11-18,130
40,-8,2024-09-18,130
-36,147,2003-01-22,129
20,101,2003-04-07,129
-11,-43,2015-09-11,129
-10,-44,2015-09-27,129
56,-116,2023-05-06,129
-21,-48,2024-08-23,129
-15,-62,2024-09-17,129
48,138,2003-07-24,128
63,152,2003-07-25,128
-32,123,2020-01-01,128
66,135,2020-07-25,128
-17,-59,2024-09-10,128
2,-61,2003-03-17,127
23,97,2003-04-08,127
7,-11,2003-04-09,127
58,-119,2023-05-14,127
57,-121,2023-05-15,127
56,-68,2023-07-05,127
59,-112,2023-07-13,127
55,116,2024-07-02,127
58,-121,2024-07-10,127
-32,122,2003-01-23,126
60,-116,2023-08-26,126
-20,-49,2024-08-23,126
52,108,2015-08-22,125
-3,105,2015-10-03,125
-37,149,2020-01-01,125
56,-119,2023-05-16,125
-20,129,2023-10-05,125
-17,-57,2023-11-12,125
57,-110,2024-07-10,125
-15,-62,2024-09-25,125
53,109,2015-08-22,124
65,122,2020-07-02,124
60,-117,2023-08-14,124
55,-124,2023-09-02,124
58,-114,2024-07-18,124
64,-115,2024-08-10,124
-17,-51,2024-09-09,124
40,-8,2024-09-17,124
51,110,2003-06-06,123
54,125,2015-07-12,123
-2,114,2015-09-14,123
-32,122,2020-01-07,123
-16,-55,2020-09-13,123
49,-76,2023-06-06,123
58,-121,2024-07-08,123
44,-117,2024-07-12,123
53,116,2024-07-26,123
-17,-59,2024-08-29,123
-10,-44,2015-09-25,122
37,-119,2020-09-17,122
58,-113,2023-06-03,122
-17,-57,2023-11-03,122
-19,139,2023-12-26,122
44,-117,2024-07-21,122
44,-117,2024-07-23,122
-16,-59,2024-08-05,122
66,119,2020-07-12,121
60,-120,2023-06-02,121
49,-76,2023-06-23,121
64,-125,2023-08-09,121
-21,131,2023-10-04,121
-21,133,2023-10-26,121
62,119,2024-07-24,121
40,-121,2024-07-25,121
65,-124,2024-08-10,121
-14,-62,2024-10-03,121
-17,-57,2020-10-11,120
-37,-72,2023-02-06,120
50,-119,2023-08-19,120
59,121,2024-07-10,120
52,-117,2024-07-23,120
-17,-59,2024-09-11,120
7,-12,2003-04-09,119
65,152,2003-07-25,119
58,-112,2015-06-28,119
-2,105,2015-10-05,119
-22,114,2015-11-22,119
-35,147,2020-01-04,119
55,-108,2023-05-16,119
-17,-56,2023-11-14,119
54,115,2024-07-26,119
44,-107,2024-10-02,119
47,-107,2003-07-20,118
34,-118,2003-10-26,118
52,111,2015-05-23,118
44,-121,2020-09-10,118
-16,-56,2020-09-12,118
49,116,2023-05-01,118
58,-119,2023-05-06,118
48,-76,2023-06-03,118
62,-115,2023-07-22,118
63,120,2024-07-24,118
53,116,2024-07-25,118
-20,138,2024-10-09,118
-35,148,2003-01-19,117
63,169,2003-08-07,117
48,112,2015-03-25,117
58,-113,2015-06-05,117
33,116,2015-06-11,117
53,107,2015-08-07,117
53,107,2015-09-04,117
38,-120,2015-09-11,117
-17,-57,2020-08-15,117
20,103,2023-04-06,117
-8,-62,2023-09-05,117
-15,-60,2024-08-24,117
-15,-55,2024-09-09,117
40,-7,2024-09-17,117
-14,-62,2024-09-22,117
-17,142,2024-11-05,117
48,-119,2015-08-25,116
55,-115,2023-05-05,116
59,-121,2023-09-02,116
58,-121,2024-05-11,116
